face_id,ethnicity,r_mid,r_jaw_adj,z_r_mid,z_r_jaw_adj,skeletal_group,type_code
F001,Asian American,0.1419118715,-0.7507541906,-0.1853148197,-0.1933542708,high,5
F002,Latina,0.2141455231,-0.5878915622,0.05151537635,-1.177698825,high,5
F003,White,0.03015973561,-0.5957582521,-0.94622937,-1.092970371,low,6
F004,White,-0.3243047046,-0.2218389002,-3.1043366,0.710769432,low,9
F005,White,0.5344934389,-0.4763702288,2.124335934,-0.5170576007,high,1
F006,Asian American,0.1128493546,-0.4847838893,-0.3631517388,0.8836799611,high,5
F007,Black,0.4314426562,-0.8379885964,-0.5133979239,-1.345435049,low,6
F008,White,0.3330570418,-0.3663546628,0.8979185679,0.0136436166,high,4
F009,White,0.06585024211,-0.7752077129,-0.7289327067,-1.958611941,low,6
F010,Asian American,-0.1261518233,-0.6724554983,-1.825627731,0.1237126031,low,9
F011,Latina,-0.1736265489,-0.1715846373,-2.052609469,0.9692484913,low,9
F012,Latina,0.4513638476,-0.2663641317,1.338707018,0.4804586851,high,1
F013,Black,0.5952904683,-0.9101543959,-0.02938886285,-1.604218806,low,6
F014,White,-0.05114496575,-0.3574475838,-1.441241687,0.05661024233,low,9
F015,Black,0.484819766,-0.7648179379,-0.3557210867,-1.083047907,low,6
F016,White,0.2125233311,-0.6146683351,0.1640659076,-1.184190227,high,5
F017,Latina,0.1738422866,-0.2760741468,-0.1671776329,0.4303829126,high,5
F018,Asian American,-0.01748621808,-0.6526824744,-1.16069026,0.2037825336,low,8
F019,White,0.1484809943,-0.7387310512,-0.2258469147,-1.782653124,low,6
F020,White,-0.01797901882,-0.2813343497,-1.239315452,0.4237708859,low,8
F021,Latina,0.104350016,-0.7414679623,-0.5442558794,-1.96971169,low,6
F022,Black,0.9051907024,-0.3553301371,0.8860613918,0.3853594587,high,4
F023,Black,0.5078889049,-0.04784508883,-0.2875744811,1.487988911,high,5
F024,Black,0.3383827124,-0.3838530057,-0.7882984881,0.2830775588,low,6
