rater_id,face_id,rating,makeup,skeletal_group,ethnicity,rater_gender,rater_age_group,makeup_frequency,makeup_interest
R0001,F025,4,0,high,Latina,male,40‐49,a few times per year,very interested
R0001,F042,5,0,high,White,male,40‐49,a few times per year,very interested
R0001,F045,4,1,high,White,male,40‐49,a few times per year,very interested
R0001,F059,4,1,low,Latina,male,40‐49,a few times per year,very interested
R0001,F062,5,1,high,Black,male,40‐49,a few times per year,very interested
R0001,F090,2,1,low,Asian American,male,40‐49,a few times per year,very interested
R0001,F095,2,0,low,Asian American,male,40‐49,a few times per year,very interested
R0001,F115,2,0,low,Black,male,40‐49,a few times per year,very interested
R0002,F014,3,0,low,White,female,30‐39,5+ days per week,somewhat interested
R0002,F022,3,0,high,Black,female,30‐39,5+ days per week,somewhat interested
R0002,F048,4,1,low,Black,female,30‐39,5+ days per week,somewhat interested
R0002,F072,4,0,low,Latina,female,30‐39,5+ days per week,somewhat interested
R0002,F073,3,1,low,White,female,30‐39,5+ days per week,somewhat interested
R0002,F083,4,1,high,Asian American,female,30‐39,5+ days per week,somewhat interested
R0002,F087,3,0,high,Asian American,female,30‐39,5+ days per week,somewhat interested
R0002,F089,4,1,high,Latina,female,30‐39,5+ days per week,somewhat interested
R0003,F008,4,0,high,White,male,30‐39,never,somewhat interested
R0003,F011,3,0,low,Latina,male,30‐39,never,somewhat interested
R0003,F037,2,0,high,Black,male,30‐39,never,somewhat interested
R0003,F057,3,0,low,Asian American,male,30‐39,never,somewhat interested
R0003,F067,4,1,high,Asian American,male,30‐39,never,somewhat interested
R0003,F100,2,1,high,Black,male,30‐39,never,somewhat interested
R0003,F103,5,1,low,Latina,male,30‐39,never,somewhat interested
R0003,F107,4,1,low,White,male,30‐39,never,somewhat interested
R0004,F017,3,0,high,Latina,female,30‐39,a few times per year,not very interested
R0004,F049,2,1,high,Black,female,30‐39,a few times per year,not very interested
R0004,F054,2,0,low,Black,female,30‐39,a few times per year,not very interested
R0004,F071,5,0,high,White,female,30‐39,a few times per year,not very interested
R0004,F078,4,1,low,Latina,female,30‐39,a few times per year,not very interested
R0004,F080,6,1,high,White,female,30‐39,a few times per year,not very interested
R0004,F116,4,1,low,Asian American,female,30‐39,a few times per year,not very interested
R0004,F116,4,0,low,Asian American,female,30‐39,a few times per year,not very interested
R0005,F023,2,0,high,Black,female,40‐49,never,somewhat interested
R0005,F053,3,0,low,Latina,female,40‐49,never,somewhat interested
R0005,F060,1,0,low,Asian American,female,40‐49,never,somewhat interested
R0005,F071,4,0,high,White,female,40‐49,never,somewhat interested
R0005,F078,3,1,low,Latina,female,40‐49,never,somewhat interested
R0005,F082,2,1,high,Black,female,40‐49,never,somewhat interested
R0005,F087,3,1,high,Asian American,female,40‐49,never,somewhat interested
R0005,F093,4,1,low,White,female,40‐49,never,somewhat interested
R0006,F019,4,1,low,White,female,40‐49,5+ days per week,very interested
R0006,F021,3,0,low,Latina,female,40‐49,5+ days per week,very interested
R0006,F022,2,0,high,Black,female,40‐49,5+ days per week,very interested
R0006,F034,2,1,high,Asian American,female,40‐49,5+ days per week,very interested
R0006,F068,4,0,high,White,female,40‐49,5+ days per week,very interested
R0006,F098,5,1,high,Black,female,40‐49,5+ days per week,very interested
R0006,F104,3,1,low,Latina,female,40‐49,5+ days per week,very interested
R0006,F116,2,0,low,Asian American,female,40‐49,5+ days per week,very interested
R0007,F010,3,0,low,Asian American,female,20‐29,never,not at all interested
R0007,F021,2,1,low,Latina,female,20‐29,never,not at all interested
R0007,F027,2,1,high,Asian American,female,20‐29,never,not at all interested
R0007,F041,4,0,high,White,female,20‐29,never,not at all interested
R0007,F078,5,0,low,Latina,female,20‐29,never,not at all interested
R0007,F086,4,1,high,Black,female,20‐29,never,not at all interested
R0007,F100,3,0,high,Black,female,20‐29,never,not at all interested
R0007,F112,3,1,low,White,female,20‐29,never,not at all interested
R0008,F001,3,1,high,Asian American,female,40‐49,2-4 days per week,neutral
R0008,F039,4,1,low,White,female,40‐49,2-4 days per week,neutral
R0008,F061,1,0,low,Latina,female,40‐49,2-4 days per week,neutral
R0008,F075,3,1,high,Latina,female,40‐49,2-4 days per week,neutral
R0008,F083,1,0,high,Asian American,female,40‐49,2-4 days per week,neutral
R0008,F088,1,1,low,Black,female,40‐49,2-4 days per week,neutral
R0008,F093,3,0,low,White,female,40‐49,2-4 days per week,neutral
R0008,F100,2,0,high,Black,female,40‐49,2-4 days per week,neutral
R0009,F022,2,1,high,Black,female,40‐49,5+ days per week,somewhat interested
R0009,F045,4,0,high,White,female,40‐49,5+ days per week,somewhat interested
R0009,F056,2,0,high,Latina,female,40‐49,5+ days per week,somewhat interested
R0009,F061,3,1,low,Latina,female,40‐49,5+ days per week,somewhat interested
R0009,F065,5,1,high,White,female,40‐49,5+ days per week,somewhat interested
R0009,F095,2,1,low,Asian American,female,40‐49,5+ days per week,somewhat interested
R0009,F102,2,0,low,Black,female,40‐49,5+ days per week,somewhat interested
R0009,F105,2,0,low,Asian American,female,40‐49,5+ days per week,somewhat interested
R0010,F013,3,0,low,Black,male,30‐39,never,somewhat interested
R0010,F018,3,1,low,Asian American,male,30‐39,never,somewhat interested
R0010,F018,2,0,low,Asian American,male,30‐39,never,somewhat interested
R0010,F036,4,0,high,White,male,30‐39,never,somewhat interested
R0010,F041,3,1,high,White,male,30‐39,never,somewhat interested
R0010,F061,4,1,low,Latina,male,30‐39,never,somewhat interested
R0010,F077,2,1,high,Black,male,30‐39,never,somewhat interested
R0010,F092,4,0,high,Latina,male,30‐39,never,somewhat interested
R0011,F003,4,0,low,White,male,40‐49,never,not at all interested
R0011,F030,4,1,high,Latina,male,40‐49,never,not at all interested
R0011,F043,4,1,low,Black,male,40‐49,never,not at all interested
R0011,F051,3,0,high,Asian American,male,40‐49,never,not at all interested
R0011,F065,4,1,high,White,male,40‐49,never,not at all interested
R0011,F075,5,0,high,Latina,male,40‐49,never,not at all interested
R0011,F097,1,1,low,Asian American,male,40‐49,never,not at all interested
R0011,F106,4,0,low,Black,male,40‐49,never,not at all interested
R0012,F001,3,1,high,Asian American,male,40‐49,never,neutral
R0012,F016,3,0,high,White,male,40‐49,never,neutral
R0012,F033,4,1,high,Black,male,40‐49,never,neutral
R0012,F055,3,1,low,Latina,male,40‐49,never,neutral
R0012,F059,4,0,low,Latina,male,40‐49,never,neutral
R0012,F062,3,0,high,Black,male,40‐49,never,neutral
R0012,F096,3,1,low,White,male,40‐49,never,neutral
R0012,F105,2,0,low,Asian American,male,40‐49,never,neutral
R0013,F012,1,1,high,Latina,male,30‐39,never,somewhat interested
R0013,F046,3,0,low,Black,male,30‐39,never,somewhat interested
R0013,F057,2,1,low,Asian American,male,30‐39,never,somewhat interested
R0013,F067,1,0,high,Asian American,male,30‐39,never,somewhat interested
R0013,F074,2,0,high,Latina,male,30‐39,never,somewhat interested
R0013,F081,3,1,high,White,male,30‐39,never,somewhat interested
R0013,F106,2,1,low,Black,male,30‐39,never,somewhat interested
R0013,F107,4,0,low,White,male,30‐39,never,somewhat interested
R0014,F004,2,0,low,White,female,30‐39,5+ days per week,very interested
R0014,F010,2,1,low,Asian American,female,30‐39,5+ days per week,very interested
R0014,F024,3,0,low,Black,female,30‐39,5+ days per week,very interested
R0014,F034,2,0,high,Asian American,female,30‐39,5+ days per week,very interested
R0014,F040,4,1,low,Black,female,30‐39,5+ days per week,very interested
R0014,F056,4,0,high,Latina,female,30‐39,5+ days per week,very interested
R0014,F089,3,1,high,Latina,female,30‐39,5+ days per week,very interested
R0014,F111,4,1,high,White,female,30‐39,5+ days per week,very interested
R0015,F010,2,0,low,Asian American,male,40‐49,never,neutral
R0015,F023,3,1,high,Black,male,40‐49,never,neutral
R0015,F050,3,0,low,Black,male,40‐49,never,neutral
R0015,F074,3,0,high,Latina,male,40‐49,never,neutral
R0015,F084,4,1,high,White,male,40‐49,never,neutral
R0015,F084,5,0,high,White,male,40‐49,never,neutral
R0015,F097,4,1,low,Asian American,male,40‐49,never,neutral
R0015,F104,4,1,low,Latina,male,40‐49,never,neutral
R0016,F021,4,1,low,Latina,female,30‐39,5+ days per week,very interested
R0016,F032,3,0,high,Latina,female,30‐39,5+ days per week,very interested
R0016,F042,4,1,high,White,female,30‐39,5+ days per week,very interested
R0016,F057,4,1,low,Asian American,female,30‐39,5+ days per week,very interested
R0016,F063,4,1,high,Black,female,30‐39,5+ days per week,very interested
R0016,F080,5,0,high,White,female,30‐39,5+ days per week,very interested
R0016,F088,2,0,low,Black,female,30‐39,5+ days per week,very interested
R0016,F116,2,0,low,Asian American,female,30‐39,5+ days per week,very interested
R0017,F001,3,1,high,Asian American,female,40‐49,1-3 days per month,neutral
R0017,F023,3,1,high,Black,female,40‐49,1-3 days per month,neutral
R0017,F033,3,0,high,Black,female,40‐49,1-3 days per month,neutral
R0017,F038,3,0,low,Latina,female,40‐49,1-3 days per month,neutral
R0017,F045,3,0,high,White,female,40‐49,1-3 days per month,neutral
R0017,F061,3,1,low,Latina,female,40‐49,1-3 days per month,neutral
R0017,F099,3,1,low,White,female,40‐49,1-3 days per month,neutral
R0017,F116,3,0,low,Asian American,female,40‐49,1-3 days per month,neutral
R0018,F006,2,1,high,Asian American,male,50‐59,1-3 days per month,somewhat interested
R0018,F009,3,1,low,White,male,50‐59,1-3 days per month,somewhat interested
R0018,F025,3,1,high,Latina,male,50‐59,1-3 days per month,somewhat interested
R0018,F027,2,0,high,Asian American,male,50‐59,1-3 days per month,somewhat interested
R0018,F053,3,0,low,Latina,male,50‐59,1-3 days per month,somewhat interested
R0018,F069,2,1,low,Black,male,50‐59,1-3 days per month,somewhat interested
R0018,F076,2,0,high,Black,male,50‐59,1-3 days per month,somewhat interested
R0018,F112,3,0,low,White,male,50‐59,1-3 days per month,somewhat interested
R0019,F038,4,1,low,Latina,female,20‐29,5+ days per week,neutral
R0019,F049,3,0,high,Black,female,20‐29,5+ days per week,neutral
R0019,F080,4,0,high,White,female,20‐29,5+ days per week,neutral
R0019,F090,3,0,low,Asian American,female,20‐29,5+ days per week,neutral
R0019,F103,4,0,low,Latina,female,20‐29,5+ days per week,neutral
R0019,F108,4,1,low,White,female,20‐29,5+ days per week,neutral
R0019,F110,4,1,high,Asian American,female,20‐29,5+ days per week,neutral
R0019,F113,4,1,high,Black,female,20‐29,5+ days per week,neutral
R0020,F003,3,1,low,White,female,30‐39,2-4 days per week,neutral
R0020,F005,2,0,high,White,female,30‐39,2-4 days per week,neutral
R0020,F006,4,1,high,Asian American,female,30‐39,2-4 days per week,neutral
R0020,F018,3,0,low,Asian American,female,30‐39,2-4 days per week,neutral
R0020,F063,4,1,high,Black,female,30‐39,2-4 days per week,neutral
R0020,F078,3,1,low,Latina,female,30‐39,2-4 days per week,neutral
R0020,F086,3,0,high,Black,female,30‐39,2-4 days per week,neutral
R0020,F104,2,0,low,Latina,female,30‐39,2-4 days per week,neutral
R0021,F034,3,1,high,Asian American,male,30‐39,a few times per year,somewhat interested
R0021,F034,3,0,high,Asian American,male,30‐39,a few times per year,somewhat interested
R0021,F044,3,1,low,White,male,30‐39,a few times per year,somewhat interested
R0021,F059,4,0,low,Latina,male,30‐39,a few times per year,somewhat interested
R0021,F066,4,0,high,Black,male,30‐39,a few times per year,somewhat interested
R0021,F092,4,1,high,Latina,male,30‐39,a few times per year,somewhat interested
R0021,F099,4,0,low,White,male,30‐39,a few times per year,somewhat interested
